Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1972933,"Apr 14, 2015","Apr 14, 2015",4209588,850336776,4209588,202,517,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972933,SRX994210,G5764.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908503,SAMN03254230,simple,186538,Zaire ebolavirus,G5764.1,,,,,,,no,,,,,BI,SRA178666,,public,2909C318941A18F2618CEB192227A0AE,815129DFA9A2FC3113D6E6623F1FABF2
SRR1972934,"Apr 14, 2015","Apr 14, 2015",3430040,692868080,3430040,202,374,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972934,SRX994211,G5765.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908502,SAMN03254231,simple,186538,Zaire ebolavirus,G5765.1,,,,,,,no,,,,,BI,SRA178666,,public,B134C8E79E8C37BE4116B05F031811C5,674A9D82473C1027F1960902988FF645
SRR1972935,"Apr 14, 2015","Apr 14, 2015",9944612,2008811624,9944612,202,1035,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972935,SRX994212,G5767.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908501,SAMN03254232,simple,186538,Zaire ebolavirus,G5767.1,,,,,,,no,,,,,BI,SRA178666,,public,EA299DCA1B0DD0C31F154656F4BB7F0E,5521BF789937CFB7281A1D8C747FE796
SRR1972936,"Apr 14, 2015","Apr 14, 2015",1032929,208651658,1032929,202,125,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972936,SRX994213,G5768.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908500,SAMN03254233,simple,186538,Zaire ebolavirus,G5768.1,,,,,,,no,,,,,BI,SRA178666,,public,DBFDDEAE7CF96DB0316565D7C60C8959,95FEB9AD250E624415B3951CC6A23A13
SRR1972937,"Apr 14, 2015","Apr 14, 2015",5329759,1076611318,5329759,202,660,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972937,SRX994214,G5785.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908499,SAMN03254235,simple,186538,Zaire ebolavirus,G5785.1,,,,,,,no,,,,,BI,SRA178666,,public,F7EA936F5D0421CC7259995312B1785A,45BB988687B2C0F66CFF828FCE4E3CA1
SRR1972938,"Apr 14, 2015","Apr 14, 2015",5036353,1017343306,5036353,202,601,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972938,SRX994215,G5786.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908498,SAMN03254236,simple,186538,Zaire ebolavirus,G5786.1,,,,,,,no,,,,,BI,SRA178666,,public,28D15280133AB836FCACB2BA98522E90,73F91F309349DD3FADD52BDB58F31366
SRR1972939,"Apr 14, 2015","Apr 14, 2015",13544033,2735894666,13544033,202,1178,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972939,SRX994216,G5787.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908497,SAMN03254237,simple,186538,Zaire ebolavirus,G5787.1,,,,,,,no,,,,,BI,SRA178666,,public,49B90516FCF09655DB0D3765CABDAF84,B2F990450EF66CD98CFCCB7D0ED3E807
SRR1972940,"Apr 14, 2015","Apr 14, 2015",3339605,674600210,3339605,202,413,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972940,SRX994217,G5787.2.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908496,SAMN03254238,simple,186538,Zaire ebolavirus,G5787.2,,,,,,,no,,,,,BI,SRA178666,,public,B026B1FA88F2F358DA7820378D83A113,16ACCB8BF666A0BD1EA9695E33CB91FC
SRR1972941,"Apr 14, 2015","Apr 14, 2015",1811018,365825636,1811018,202,208,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972941,SRX994218,G5788.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908495,SAMN03254239,simple,186538,Zaire ebolavirus,G5788.1,,,,,,,no,,,,,BI,SRA178666,,public,3AB0F598F525EF5A6EB38447C8963839,A5663D94044A660C477987E6034B2502
SRR1972942,"Apr 14, 2015","Apr 14, 2015",2278623,460281846,2278623,202,248,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972942,SRX994219,G5790.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908494,SAMN03254240,simple,186538,Zaire ebolavirus,G5790.1,,,,,,,no,,,,,BI,SRA178666,,public,217B0F484D381BACAC406F972D397721,20A3797D70C0F5063407515BBD045CAE
SRR1972943,"Apr 14, 2015","Apr 14, 2015",919861,185811922,919861,202,109,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972943,SRX994220,G5796.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803840,SAMN03254241,simple,186538,Zaire ebolavirus,G5796.1,,,,,,,no,,,,,BI,SRA178666,,public,B43A4B6BDDA8F7B8FA86F2304CB64ACC,A4934CAD5B6FA5BDCC2D26916FF18096
SRR1972944,"Apr 14, 2015","Apr 14, 2015",2334324,471533448,2334324,202,251,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972944,SRX994221,G5797.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908493,SAMN03254243,simple,186538,Zaire ebolavirus,G5797.1,,,,,,,no,,,,,BI,SRA178666,,public,75DD5226E1387A677EF345D7EAE48436,7D0455B5CCF3538AB789033F600CB386
SRR1972945,"Apr 14, 2015","Apr 14, 2015",3719504,751339808,3719504,202,439,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972945,SRX994222,G5816.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908492,SAMN03254244,simple,186538,Zaire ebolavirus,G5816.1,,,,,,,no,,,,,BI,SRA178666,,public,A75C95FC2EAF66AC94AB78F911CD925D,200292A8ECE7D05C2AF32AF40D169F27
SRR1972946,"Apr 14, 2015","Apr 14, 2015",2878159,581388118,2878159,202,305,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972946,SRX994223,G5817.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908491,SAMN03254245,simple,186538,Zaire ebolavirus,G5817.1,,,,,,,no,,,,,BI,SRA178666,,public,075273454949CDE3C787A3BB1B76659D,7A9773178B25C6B8F6E06BD0FA948688
SRR1972947,"Apr 14, 2015","Apr 14, 2015",1899001,383598202,1899001,202,192,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972947,SRX994224,G5821.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908490,SAMN03254246,simple,186538,Zaire ebolavirus,G5821.1,,,,,,,no,,,,,BI,SRA178666,,public,1E4EA7747AC79770F975ECFE0B2CBBBF,D569397F8CB812EAA9B2B3E9169667F3
SRR1972948,"Apr 14, 2015","Apr 14, 2015",573833,115914266,573833,202,55,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972948,SRX994225,G5844.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803773,SAMN03254248,simple,186538,Zaire ebolavirus,G5844.1,,,,,,,no,,,,,BI,SRA178666,,public,8028DA0A36CEF787C50359C0C5DBCC58,C8BDD1D8D50403C197681AB1881E3DD0
SRR1972949,"Apr 14, 2015","Apr 14, 2015",429202,86698804,429202,202,43,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972949,SRX994226,G5853.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803853,SAMN03254252,simple,186538,Zaire ebolavirus,G5853.1,,,,,,,no,,,,,BI,SRA178666,,public,8CD0789240AD20412EC3697846325E2D,0F3F4488226B4E8C9791B86FF88D1234
SRR1972950,"Apr 14, 2015","Apr 14, 2015",1162172,234758744,1162172,202,140,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972950,SRX994227,G5868.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908489,SAMN03254255,simple,186538,Zaire ebolavirus,G5868.1,,,,,,,no,,,,,BI,SRA178666,,public,650DC0620E1EBBC3B90402A4052800C5,713BB47A71985B16C48487DE71F193F1
SRR1972951,"Apr 14, 2015","Apr 14, 2015",6315738,1275779076,6315738,202,728,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972951,SRX994228,G5879.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908488,SAMN03254256,simple,186538,Zaire ebolavirus,G5879.1,,,,,,,no,,,,,BI,SRA178666,,public,E620E13FCD1AF473FA1C4BA58FE9D415,FD1CC46008FF838505ABDB4CF37E7E00
SRR1972952,"Apr 14, 2015","Apr 14, 2015",2678365,541029730,2678365,202,298,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972952,SRX994229,G5880.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908487,SAMN03254257,simple,186538,Zaire ebolavirus,G5880.1,,,,,,,no,,,,,BI,SRA178666,,public,9BB9F46B3274B379C3710A42D5735A96,D3D87758824C3941132F21B05BF72F31
SRR1972953,"Apr 14, 2015","Apr 14, 2015",2974554,600859908,2974554,202,343,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972953,SRX994230,G5881.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908486,SAMN03254258,simple,186538,Zaire ebolavirus,G5881.1,,,,,,,no,,,,,BI,SRA178666,,public,6D8810998C5E320D555CFA1F80B2DB7C,C51E32A966099678A96E956E05C044EF
SRR1972954,"Apr 14, 2015","Apr 14, 2015",493424,99671648,493424,202,56,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972954,SRX994231,G5897.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS804039,SAMN03254261,simple,186538,Zaire ebolavirus,G5897.1,,,,,,,no,,,,,BI,SRA178666,,public,8604B1A3AB9A58705D45958547F94AC9,890A24257E5D68DC03680C8295B880BF
SRR1972955,"Apr 14, 2015","Apr 14, 2015",421386,85119972,421386,202,49,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972955,SRX994232,G5898.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803803,SAMN03254262,simple,186538,Zaire ebolavirus,G5898.1,,,,,,,no,,,,,BI,SRA178666,,public,FD28857504B0027F40CC52258B68CA6E,CE9E33800B0B4714444AEB46BC2538D9
SRR1972956,"Apr 14, 2015","Apr 14, 2015",410593,82939786,410593,202,47,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972956,SRX994233,G5982.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803799,SAMN03254273,simple,186538,Zaire ebolavirus,G5982.1,,,,,,,no,,,,,BI,SRA178666,,public,8F7A36B0E2E0D864B3B0CB27F768016D,2FC23B2DB99E45283105A4E2B03996C2
SRR1972957,"Apr 14, 2015","Apr 14, 2015",528278,106712156,528278,202,58,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972957,SRX994234,G5983.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803978,SAMN03254274,simple,186538,Zaire ebolavirus,G5983.1,,,,,,,no,,,,,BI,SRA178666,,public,261E350CA2987BA549F1255115BE2444,79DE675029822B58009A09BE811FEED4
SRR1972958,"Apr 14, 2015","Apr 14, 2015",289253,58429106,289253,202,32,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972958,SRX994235,G5985.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803827,SAMN03254275,simple,186538,Zaire ebolavirus,G5985.1,,,,,,,no,,,,,BI,SRA178666,,public,96A58DA3BCDB8E8AD1F8E7BA6858CE2A,9FFC91563A7097ACF512700EBB52F336
SRR1972959,"Apr 14, 2015","Apr 14, 2015",1432024,289268848,1432024,202,147,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972959,SRX994236,G5986.1.l1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS908485,SAMN03254276,simple,186538,Zaire ebolavirus,G5986.1,,,,,,,no,,,,,BI,SRA178666,,public,F55AFC2219935F64EF8C80F35E848DA5,E363025B0C7DE925C462E6958DE52495
SRR1972960,"Apr 14, 2015","Apr 14, 2015",282250,57014500,282250,202,32,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972960,SRX994237,G5988.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803846,SAMN03254277,simple,186538,Zaire ebolavirus,G5988.1,,,,,,,no,,,,,BI,SRA178666,,public,D72E5AA5220A265F1E0083CE18388785,56B7E42743C184F0A73E369C979F1AAC
SRR1972961,"Apr 14, 2015","Apr 14, 2015",700674,141536148,700674,202,79,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972961,SRX994238,G5996.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803922,SAMN03254279,simple,186538,Zaire ebolavirus,G5996.1,,,,,,,no,,,,,BI,SRA178666,,public,2577E96D97FAADCEDA043A6051AEE89E,71A45A19B30D093939189EBD5A4FDE70
SRR1972962,"Apr 14, 2015","Apr 14, 2015",354806,71670812,354806,202,40,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972962,SRX994239,G5997.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803890,SAMN03254280,simple,186538,Zaire ebolavirus,G5997.1,,,,,,,no,,,,,BI,SRA178666,,public,91DF721623B1D0F666BDD49B640512EA,3388E7539977368D3C293898BE258CC8
SRR1972963,"Apr 14, 2015","Apr 14, 2015",1196124,241617048,1196124,202,135,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972963,SRX994240,G5998.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS803992,SAMN03254281,simple,186538,Zaire ebolavirus,G5998.1,,,,,,,no,,,,,BI,SRA178666,,public,044F63A1554EDA8CF27742F34C614508,4BB3EEDDF10148073C08A783A11F57E0
SRR1972966,"Apr 14, 2015","Apr 14, 2015",1052577,212620554,1052577,202,120,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1972966,SRX994243,G6060.1.l2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP045416,PRJNA257197,2,257197,SRS804014,SAMN03254290,simple,186538,Zaire ebolavirus,G6060.1,,,,,,,no,,,,,BI,SRA178666,,public,60C3D5568483C1F22D121FD30E0EEA9F,0132F6F729D26AC85C881C73C928FE04
